Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
TCL,Crops and livestock products,209,Eswatini,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1299,,Official data
TCL,Crops and livestock products,209,Eswatini,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,,,Official data
TCL,Crops and livestock products,238,Ethiopia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2,,Official data
TCL,Crops and livestock products,64,Faroe Islands,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,66,Fiji,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,26,,Official data
TCL,Crops and livestock products,66,Fiji,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,8,,Official data
TCL,Crops and livestock products,67,Finland,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,12494,,Official data
TCL,Crops and livestock products,67,Finland,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1,,Official data
TCL,Crops and livestock products,68,France,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,316611,,Official data
TCL,Crops and livestock products,68,France,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1090,,Official data
TCL,Crops and livestock products,70,French Polynesia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,R,Estimated data using trading partners database
TCL,Crops and livestock products,70,French Polynesia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,74,Gabon,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,74,Gabon,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,16,*,Unofficial figure
TCL,Crops and livestock products,75,Gambia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1,,Official data
TCL,Crops and livestock products,73,Georgia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,584,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,888431,,Official data
TCL,Crops and livestock products,79,Germany,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,9941,,Official data
TCL,Crops and livestock products,81,Ghana,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,16575,,Official data
TCL,Crops and livestock products,81,Ghana,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,843641,,Official data
TCL,Crops and livestock products,84,Greece,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,11171,,Official data
TCL,Crops and livestock products,84,Greece,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,86,Grenada,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,4,R,Estimated data using trading partners database
TCL,Crops and livestock products,86,Grenada,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,967,R,Estimated data using trading partners database
TCL,Crops and livestock products,89,Guatemala,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,5933,,Official data
TCL,Crops and livestock products,89,Guatemala,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,150,,Official data
TCL,Crops and livestock products,90,Guinea,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,7,*,Unofficial figure
TCL,Crops and livestock products,90,Guinea,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,8141,R,Estimated data using trading partners database
TCL,Crops and livestock products,91,Guyana,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,18,,Official data
TCL,Crops and livestock products,93,Haiti,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1,R,Estimated data using trading partners database
TCL,Crops and livestock products,93,Haiti,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,2230,R,Estimated data using trading partners database
TCL,Crops and livestock products,95,Honduras,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,44,,Official data
TCL,Crops and livestock products,95,Honduras,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,580,,Official data
TCL,Crops and livestock products,97,Hungary,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,41541,,Official data
TCL,Crops and livestock products,97,Hungary,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,99,Iceland,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,266,,Official data
TCL,Crops and livestock products,100,India,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,18209,,Official data
TCL,Crops and livestock products,100,India,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,82,,Official data
TCL,Crops and livestock products,101,Indonesia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,15165,,Official data
TCL,Crops and livestock products,101,Indonesia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,27827,,Official data
TCL,Crops and livestock products,102,Iran (Islamic Republic of),5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,10256,*,Unofficial figure
TCL,Crops and livestock products,103,Iraq,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2,R,Estimated data using trading partners database
TCL,Crops and livestock products,104,Ireland,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,58112,,Official data
TCL,Crops and livestock products,104,Ireland,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,105,Israel,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,3105,Im,FAO data based on imputation methodology
TCL,Crops and livestock products,105,Israel,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,106,Italy,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,324103,,Official data
TCL,Crops and livestock products,106,Italy,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,943,,Official data
TCL,Crops and livestock products,109,Jamaica,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,83,R,Estimated data using trading partners database
TCL,Crops and livestock products,109,Jamaica,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,195,R,Estimated data using trading partners database
TCL,Crops and livestock products,110,Japan,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,6541,,Official data
TCL,Crops and livestock products,110,Japan,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,50,,Official data
TCL,Crops and livestock products,112,Jordan,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,2032,,Official data
TCL,Crops and livestock products,108,Kazakhstan,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,16157,,Official data
TCL,Crops and livestock products,114,Kenya,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,300,,Official data
TCL,Crops and livestock products,118,Kuwait,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1248,,Official data
TCL,Crops and livestock products,113,Kyrgyzstan,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,361,,Official data
TCL,Crops and livestock products,120,Lao People's Democratic Republic,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,R,Estimated data using trading partners database
TCL,Crops and livestock products,119,Latvia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,10468,,Official data
TCL,Crops and livestock products,119,Latvia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,121,Lebanon,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,3958,,Official data
TCL,Crops and livestock products,121,Lebanon,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,122,Lesotho,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1,,Official data
TCL,Crops and livestock products,123,Liberia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,1,R,Estimated data using trading partners database
TCL,Crops and livestock products,123,Liberia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,9982,R,Estimated data using trading partners database
TCL,Crops and livestock products,124,Libya,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,126,Lithuania,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,29382,,Official data
TCL,Crops and livestock products,126,Lithuania,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,0,,Official data
TCL,Crops and livestock products,256,Luxembourg,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,914,,Official data
TCL,Crops and livestock products,256,Luxembourg,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,1,,Official data
TCL,Crops and livestock products,129,Madagascar,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,75,,Official data
TCL,Crops and livestock products,129,Madagascar,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,10134,,Official data
TCL,Crops and livestock products,130,Malawi,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,0,*,Unofficial figure
TCL,Crops and livestock products,131,Malaysia,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,73751,,Official data
TCL,Crops and livestock products,131,Malaysia,5910,Export Quantity,661,"Cocoa, beans",2018,2018,tonnes,155572,,Official data
TCL,Crops and livestock products,133,Mali,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,4,,Official data
TCL,Crops and livestock products,134,Malta,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,245,,Official data
TCL,Crops and livestock products,137,Mauritius,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,4,,Official data
TCL,Crops and livestock products,138,Mexico,5910,Export Quantity,666,Chocolate products nes,2018,2018,tonnes,197451,,Official data
